"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 26, 2020","7:00 PM","Sat","(2) Alabama","@","Missouri","SEC","W",38,19,1,0,"W 1",""
"2",2,"Oct 3, 2020","3:30 PM","Sat","(2) Alabama","","(13) Texas A&M","SEC","W",52,24,2,0,"W 2",""
"3",3,"Oct 10, 2020","6:00 PM","Sat","(2) Alabama","@","Ole Miss","SEC","W",63,48,3,0,"W 3",""
"4",4,"Oct 17, 2020","8:00 PM","Sat","(2) Alabama","","(3) Georgia","SEC","W",41,24,4,0,"W 4",""
"5",5,"Oct 24, 2020","3:30 PM","Sat","(2) Alabama","@","Tennessee","SEC","W",48,17,5,0,"W 5",""
"6",6,"Oct 31, 2020","7:00 PM","Sat","(2) Alabama","","Mississippi State","SEC","W",41,0,6,0,"W 6",""
"7",7,"Nov 21, 2020","4:00 PM","Sat","(1) Alabama","","Kentucky","SEC","W",63,3,7,0,"W 7",""
"8",8,"Nov 28, 2020","3:30 PM","Sat","(1) Alabama","","(22) Auburn","SEC","W",42,13,8,0,"W 8",""
"9",9,"Dec 5, 2020","8:00 PM","Sat","(1) Alabama","@","LSU","SEC","W",55,17,9,0,"W 9",""
"10",10,"Dec 12, 2020","12:00 PM","Sat","(1) Alabama","@","Arkansas","SEC","W",52,3,10,0,"W 10",""
"11",11,"Dec 19, 2020","8:00 PM","Sat","(1) Alabama","N","(6) Florida","SEC","",NA,NA,NA,NA,"","Mercedes-Benz Stadium - Atlanta, Georgia"
