"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 7, 2020","8:00 PM","Mon","BYU","@","Navy","American","W",55,3,1,0,"W 1",NA
"2",2,"Sep 26, 2020","10:15 PM","Sat","(18) BYU","","Troy","Sun Belt","W",48,7,2,0,"W 2",NA
"3",3,"Oct 2, 2020","9:00 PM","Fri","(22) BYU","","Louisiana Tech","CUSA","W",45,14,3,0,"W 3",NA
"4",4,"Oct 10, 2020","3:30 PM","Sat","(15) BYU","","UTSA","CUSA","W",27,20,4,0,"W 4",NA
"5",5,"Oct 16, 2020","12:00 PM","Fri","(15) BYU","@","Houston","American","W",43,26,5,0,"W 5",NA
"6",6,"Oct 24, 2020","10:15 PM","Sat","(12) BYU","","Texas State","Sun Belt","W",52,14,6,0,"W 6",NA
"7",7,"Oct 31, 2020","10:15 PM","Sat","(11) BYU","","Western Kentucky","CUSA","W",41,10,7,0,"W 7",NA
"8",8,"Nov 6, 2020","12:00 PM","Fri","(9) BYU","@","(21) Boise State","MWC","W",51,17,8,0,"W 8",NA
"9",9,"Nov 21, 2020","3:00 PM","Sat","(8) BYU","","North Alabama","Non-Major","W",66,14,9,0,"W 9",NA
"10",10,"Dec 5, 2020","5:30 PM","Sat","(8) BYU","@","(14) Coastal Carolina","Sun Belt","L",17,22,9,1,"L 1",NA
"11",11,"Dec 12, 2020","10:00 PM","Sat","(14) BYU","","San Diego State","MWC","W",28,14,10,1,"W 1",NA
