"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","7:30 PM","Sat","(1) Clemson","@","Wake Forest","ACC","W",37,13,1,0,"W 1",""
"2",2,"Sep 19, 2020","4:00 PM","Sat","(1) Clemson","","Citadel","Non-Major","W",49,0,2,0,"W 2",""
"3",3,"Oct 3, 2020","8:00 PM","Sat","(1) Clemson","","Virginia","ACC","W",41,23,3,0,"W 3",""
"4",4,"Oct 10, 2020","7:30 PM","Sat","(1) Clemson","","(7) Miami (FL)","ACC","W",42,17,4,0,"W 4",""
"5",5,"Oct 17, 2020","12:00 PM","Sat","(1) Clemson","@","Georgia Tech","ACC","W",73,7,5,0,"W 5",""
"6",6,"Oct 24, 2020","12:00 PM","Sat","(1) Clemson","","Syracuse","ACC","W",47,21,6,0,"W 6",""
"7",7,"Oct 31, 2020","12:00 PM","Sat","(1) Clemson","","Boston College","ACC","W",34,28,7,0,"W 7",""
"8",8,"Nov 7, 2020","7:30 PM","Sat","(1) Clemson","@","(4) Notre Dame","ACC","L",40,47,7,1,"L 1",""
"9",9,"Nov 28, 2020","3:30 PM","Sat","(4) Clemson","","Pitt","ACC","W",52,17,8,1,"W 1",""
"10",10,"Dec 5, 2020","7:30 PM","Sat","(4) Clemson","@","Virginia Tech","ACC","W",45,10,9,1,"W 2",""
"11",11,"Dec 19, 2020","4:00 PM","Sat","(4) Clemson","N","(2) Notre Dame","ACC","",NA,NA,NA,NA,"","Bank of America Stadium - Charlotte, North Carolina"
