"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","10:00 PM","Sat","Coastal Carolina","@","Kansas","Big 12","W",38,23,1,0,"W 1",NA
"2",2,"Sep 18, 2020","12:00 PM","Fri","Coastal Carolina","","Campbell","Non-Major","W",43,21,2,0,"W 2",NA
"3",3,"Oct 3, 2020","12:00 PM","Sat","Coastal Carolina","","Arkansas State","Sun Belt","W",52,23,3,0,"W 3",NA
"4",4,"Oct 14, 2020","12:00 PM","Wed","Coastal Carolina","@","(21) Louisiana","Sun Belt","W",30,27,4,0,"W 4",NA
"5",5,"Oct 24, 2020","12:00 PM","Sat","(25) Coastal Carolina","","Georgia Southern","Sun Belt","W",28,14,5,0,"W 5",NA
"6",6,"Oct 31, 2020","12:00 PM","Sat","(20) Coastal Carolina","@","Georgia State","Sun Belt","W",51,0,6,0,"W 6",NA
"7",7,"Nov 7, 2020","8:00 PM","Sat","(15) Coastal Carolina","","South Alabama","Sun Belt","W",23,6,7,0,"W 7",NA
"8",8,"Nov 21, 2020","12:00 PM","Sat","(15) Coastal Carolina","","Appalachian State","Sun Belt","W",34,23,8,0,"W 8",NA
"9",9,"Nov 28, 2020","3:00 PM","Sat","(16) Coastal Carolina","@","Texas State","Sun Belt","W",49,14,9,0,"W 9",NA
"10",10,"Dec 5, 2020","5:30 PM","Sat","(14) Coastal Carolina","","(8) BYU","Ind","W",22,17,10,0,"W 10",NA
"11",11,"Dec 12, 2020","3:00 PM","Sat","(11) Coastal Carolina","@","Troy","Sun Belt","W",42,38,11,0,"W 11",NA
"12",12,"Dec 19, 2020","12:00 PM","Sat","(11) Coastal Carolina","","(17) Louisiana","Sun Belt","",NA,NA,NA,NA,"",NA
