"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 26, 2020","12:00 PM","Sat","(5) Florida","@","Ole Miss","SEC","W",51,35,1,0,"W 1",""
"2",2,"Oct 3, 2020","12:00 PM","Sat","(3) Florida","","South Carolina","SEC","W",38,24,2,0,"W 2",""
"3",3,"Oct 10, 2020","12:00 PM","Sat","(4) Florida","@","(21) Texas A&M","SEC","L",38,41,2,1,"L 1",""
"4",4,"Oct 31, 2020","7:30 PM","Sat","(10) Florida","","Missouri","SEC","W",41,17,3,1,"W 1",""
"5",5,"Nov 7, 2020","3:30 PM","Sat","(8) Florida","N","(5) Georgia","SEC","W",44,28,4,1,"W 2",""
"6",6,"Nov 14, 2020","7:00 PM","Sat","(6) Florida","","Arkansas","SEC","W",63,35,5,1,"W 3",""
"7",7,"Nov 21, 2020","12:00 PM","Sat","(6) Florida","@","Vanderbilt","SEC","W",38,17,6,1,"W 4",""
"8",8,"Nov 28, 2020","12:00 PM","Sat","(6) Florida","","Kentucky","SEC","W",34,10,7,1,"W 5",""
"9",9,"Dec 5, 2020","3:30 PM","Sat","(6) Florida","@","Tennessee","SEC","W",31,19,8,1,"W 6",""
"10",10,"Dec 12, 2020","7:00 PM","Sat","(6) Florida","","LSU","SEC","L",34,37,8,2,"L 1",""
"11",11,"Dec 19, 2020","8:00 PM","Sat","(6) Florida","N","(1) Alabama","SEC","",NA,NA,NA,NA,"","Mercedes-Benz Stadium - Atlanta, Georgia"
