"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","12:00 PM","Sat","(23) Iowa State","","Louisiana","Sun Belt","L",14,31,0,1,"L 1",""
"2",2,"Sep 26, 2020","1:30 PM","Sat","Iowa State","@","Texas Christian","Big 12","W",37,34,1,1,"W 1",""
"3",3,"Oct 3, 2020","7:30 PM","Sat","Iowa State","","(18) Oklahoma","Big 12","W",37,30,2,1,"W 2",""
"4",4,"Oct 10, 2020","3:30 PM","Sat","(24) Iowa State","","Texas Tech","Big 12","W",31,15,3,1,"W 3",""
"5",5,"Oct 24, 2020","3:30 PM","Sat","(17) Iowa State","@","(6) Oklahoma State","Big 12","L",21,24,3,2,"L 1",""
"6",6,"Oct 31, 2020","12:00 PM","Sat","(23) Iowa State","@","Kansas","Big 12","W",52,22,4,2,"W 1",""
"7",7,"Nov 7, 2020","7:00 PM","Sat","(17) Iowa State","","Baylor","Big 12","W",38,31,5,2,"W 2",""
"8",8,"Nov 21, 2020","4:00 PM","Sat","(17) Iowa State","","Kansas State","Big 12","W",45,0,6,2,"W 3",""
"9",9,"Nov 27, 2020","12:00 PM","Fri","(15) Iowa State","@","(20) Texas","Big 12","W",23,20,7,2,"W 4",""
"10",10,"Dec 5, 2020","3:30 PM","Sat","(12) Iowa State","","West Virginia","Big 12","W",42,6,8,2,"W 5",""
"11",11,"Dec 19, 2020","12:00 PM","Sat","(10) Iowa State","N","(13) Oklahoma","Big 12","",NA,NA,NA,NA,"","AT&T Stadium - Arlington, Texas"
