"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","12:00 PM","Sat","Louisiana","@","(23) Iowa State","Big 12","W",31,14,1,0,"W 1",NA
"2",2,"Sep 19, 2020","12:00 PM","Sat","Louisiana","@","Georgia State","Sun Belt","W",34,31,2,0,"W 2",NA
"3",3,"Sep 26, 2020","12:00 PM","Sat","(19) Louisiana","","Georgia Southern","Sun Belt","W",20,18,3,0,"W 3",NA
"4",4,"Oct 14, 2020","12:00 PM","Wed","(21) Louisiana","","Coastal Carolina","Sun Belt","L",27,30,3,1,"L 1",NA
"5",5,"Oct 23, 2020","8:00 PM","Fri","Louisiana","@","UAB","CUSA","W",24,20,4,1,"W 1",NA
"6",6,"Oct 31, 2020","8:00 PM","Sat","Louisiana","@","Texas State","Sun Belt","W",44,34,5,1,"W 2",NA
"7",7,"Nov 7, 2020","12:00 PM","Sat","Louisiana","","Arkansas State","Sun Belt","W",27,20,6,1,"W 3",NA
"8",8,"Nov 14, 2020","2:00 PM","Sat","(25) Louisiana","","South Alabama","Sun Belt","W",38,10,7,1,"W 4",NA
"9",9,"Nov 28, 2020","3:00 PM","Sat","(23) Louisiana","@","Louisiana-Monroe","Sun Belt","W",70,20,8,1,"W 5",NA
"10",10,"Dec 4, 2020","8:30 PM","Fri","(20) Louisiana","@","Appalachian State","Sun Belt","W",24,21,9,1,"W 6",NA
"11",11,"Dec 19, 2020","12:00 PM","Sat","(17) Louisiana","@","(11) Coastal Carolina","Sun Belt","",NA,NA,NA,NA,"",NA
