"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 10, 2020","8:00 PM","Thu","Miami (FL)","","UAB","CUSA","W",31,14,1,0,"W 1",NA
"2",2,"Sep 19, 2020","7:30 PM","Sat","(17) Miami (FL)","@","(18) Louisville","ACC","W",47,34,2,0,"W 2",NA
"3",3,"Sep 26, 2020","7:30 PM","Sat","(12) Miami (FL)","","Florida State","ACC","W",52,10,3,0,"W 3",NA
"4",4,"Oct 10, 2020","7:30 PM","Sat","(7) Miami (FL)","@","(1) Clemson","ACC","L",17,42,3,1,"L 1",NA
"5",5,"Oct 17, 2020","12:00 PM","Sat","(13) Miami (FL)","","Pitt","ACC","W",31,19,4,1,"W 1",NA
"6",6,"Oct 24, 2020","8:00 PM","Sat","(11) Miami (FL)","","Virginia","ACC","W",19,14,5,1,"W 2",NA
"7",7,"Nov 6, 2020","7:30 PM","Fri","(11) Miami (FL)","@","North Carolina State","ACC","W",44,41,6,1,"W 3",NA
"8",8,"Nov 14, 2020","12:00 PM","Sat","(9) Miami (FL)","@","Virginia Tech","ACC","W",25,24,7,1,"W 4",NA
"9",9,"Dec 5, 2020","8:00 PM","Sat","(9) Miami (FL)","@","Duke","ACC","W",48,0,8,1,"W 5",NA
"10",10,"Dec 12, 2020","3:30 PM","Sat","(9) Miami (FL)","","(20) North Carolina","ACC","L",26,62,8,2,"L 1",NA
"11",11,"Dec 19, 2020","","Sat","(9) Miami (FL)","","Georgia Tech","ACC","",NA,NA,NA,NA,"",NA
