"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 26, 2020","7:00 PM","Sat","Missouri","","(2) Alabama","SEC","L",19,38,0,1,"L 1",NA
"2",2,"Oct 3, 2020","12:00 PM","Sat","Missouri","@","(21) Tennessee","SEC","L",12,35,0,2,"L 2",NA
"3",3,"Oct 10, 2020","9:00 PM","Sat","Missouri","","(17) LSU","SEC","W",45,41,1,2,"W 1",NA
"4",4,"Oct 24, 2020","4:00 PM","Sat","Missouri","","Kentucky","SEC","W",20,10,2,2,"W 2",NA
"5",5,"Oct 31, 2020","7:30 PM","Sat","Missouri","@","(10) Florida","SEC","L",17,41,2,3,"L 1",NA
"6",6,"Nov 21, 2020","7:30 PM","Sat","Missouri","@","South Carolina","SEC","W",17,10,3,3,"W 1",NA
"7",7,"Nov 28, 2020","12:00 PM","Sat","Missouri","","Vanderbilt","SEC","W",41,0,4,3,"W 2",NA
"8",8,"Dec 5, 2020","12:00 PM","Sat","Missouri","","Arkansas","SEC","W",50,48,5,3,"W 3",NA
"9",9,"Dec 12, 2020","12:00 PM","Sat","Missouri","","(12) Georgia","SEC","L",14,49,5,4,"L 1",NA
"10",10,"Dec 19, 2020","3:30 PM","Sat","Missouri","@","Mississippi State","SEC","",NA,NA,NA,NA,"",NA
