"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 19, 2020","8:00 PM","Sat","North Carolina State","","Wake Forest","ACC","W",45,42,1,0,"W 1",NA
"2",2,"Sep 26, 2020","8:00 PM","Sat","North Carolina State","@","(20) Virginia Tech","ACC","L",24,45,1,1,"L 1",NA
"3",3,"Oct 3, 2020","12:00 PM","Sat","North Carolina State","@","(24) Pitt","ACC","W",30,29,2,1,"W 1",NA
"4",4,"Oct 10, 2020","12:00 PM","Sat","North Carolina State","@","Virginia","ACC","W",38,21,3,1,"W 2",NA
"5",5,"Oct 17, 2020","3:30 PM","Sat","North Carolina State","","Duke","ACC","W",31,20,4,1,"W 3",NA
"6",6,"Oct 24, 2020","12:00 PM","Sat","(23) North Carolina State","@","(14) North Carolina","ACC","L",21,48,4,2,"L 1",NA
"7",7,"Nov 6, 2020","7:30 PM","Fri","North Carolina State","","(11) Miami (FL)","ACC","L",41,44,4,3,"L 2",NA
"8",8,"Nov 14, 2020","7:30 PM","Sat","North Carolina State","","Florida State","ACC","W",38,22,5,3,"W 1",NA
"9",9,"Nov 21, 2020","7:30 PM","Sat","North Carolina State","","(21) Liberty","Ind","W",15,14,6,3,"W 2",NA
"10",10,"Nov 28, 2020","12:00 PM","Sat","North Carolina State","@","Syracuse","ACC","W",36,29,7,3,"W 3",NA
"11",11,"Dec 5, 2020","4:00 PM","Sat","North Carolina State","","Georgia Tech","ACC","W",23,13,8,3,"W 4",NA
