"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","2:30 PM","Sat","(10) Notre Dame","","Duke","ACC","W",27,13,1,0,"W 1",""
"2",2,"Sep 19, 2020","2:30 PM","Sat","(7) Notre Dame","","South Florida","American","W",52,0,2,0,"W 2",""
"3",3,"Oct 10, 2020","7:30 PM","Sat","(5) Notre Dame","","Florida State","ACC","W",42,26,3,0,"W 3",""
"4",4,"Oct 17, 2020","2:30 PM","Sat","(4) Notre Dame","","Louisville","ACC","W",12,7,4,0,"W 4",""
"5",5,"Oct 24, 2020","3:30 PM","Sat","(3) Notre Dame","@","Pitt","ACC","W",45,3,5,0,"W 5",""
"6",6,"Oct 31, 2020","3:30 PM","Sat","(4) Notre Dame","@","Georgia Tech","ACC","W",31,13,6,0,"W 6",""
"7",7,"Nov 7, 2020","7:30 PM","Sat","(4) Notre Dame","","(1) Clemson","ACC","W",47,40,7,0,"W 7",""
"8",8,"Nov 14, 2020","3:30 PM","Sat","(2) Notre Dame","@","Boston College","ACC","W",45,31,8,0,"W 8",""
"9",9,"Nov 27, 2020","3:30 PM","Fri","(2) Notre Dame","@","(25) North Carolina","ACC","W",31,17,9,0,"W 9",""
"10",10,"Dec 5, 2020","2:30 PM","Sat","(2) Notre Dame","","Syracuse","ACC","W",45,21,10,0,"W 10",""
"11",11,"Dec 19, 2020","4:00 PM","Sat","(2) Notre Dame","N","(4) Clemson","ACC","",NA,NA,NA,NA,"","Bank of America Stadium - Charlotte, North Carolina"
