"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","12:00 PM","Sat","(18) North Carolina","","Syracuse","ACC","W",31,6,1,0,"W 1",NA
"2",2,"Oct 3, 2020","3:30 PM","Sat","(12) North Carolina","@","Boston College","ACC","W",26,22,2,0,"W 2",NA
"3",3,"Oct 10, 2020","12:00 PM","Sat","(8) North Carolina","","(19) Virginia Tech","ACC","W",56,45,3,0,"W 3",NA
"4",4,"Oct 17, 2020","7:30 PM","Sat","(5) North Carolina","@","Florida State","ACC","L",28,31,3,1,"L 1",NA
"5",5,"Oct 24, 2020","12:00 PM","Sat","(14) North Carolina","","(23) North Carolina State","ACC","W",48,21,4,1,"W 1",NA
"6",6,"Oct 31, 2020","8:00 PM","Sat","(15) North Carolina","@","Virginia","ACC","L",41,44,4,2,"L 1",NA
"7",7,"Nov 7, 2020","12:00 PM","Sat","North Carolina","@","Duke","ACC","W",56,24,5,2,"W 1",NA
"8",8,"Nov 14, 2020","12:00 PM","Sat","North Carolina","","Wake Forest","ACC","W",59,53,6,2,"W 2",NA
"9",9,"Nov 27, 2020","3:30 PM","Fri","(25) North Carolina","","(2) Notre Dame","ACC","L",17,31,6,3,"L 1",NA
"10",10,"Dec 5, 2020","","Sat","North Carolina","","Western Carolina","Non-Major","W",49,9,7,3,"W 1",NA
"11",11,"Dec 12, 2020","3:30 PM","Sat","(20) North Carolina","@","(9) Miami (FL)","ACC","W",62,26,8,3,"W 2",NA
