"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 19, 2020","12:00 PM","Sat","(11) Oklahoma State","","Tulsa","American","W",16,7,1,0,"W 1",NA
"2",2,"Sep 26, 2020","3:30 PM","Sat","(15) Oklahoma State","","West Virginia","Big 12","W",27,13,2,0,"W 2",NA
"3",3,"Oct 3, 2020","3:30 PM","Sat","(17) Oklahoma State","@","Kansas","Big 12","W",47,7,3,0,"W 3",NA
"4",4,"Oct 24, 2020","3:30 PM","Sat","(6) Oklahoma State","","(17) Iowa State","Big 12","W",24,21,4,0,"W 4",NA
"5",5,"Oct 31, 2020","4:00 PM","Sat","(6) Oklahoma State","","Texas","Big 12","L",34,41,4,1,"L 1",NA
"6",6,"Nov 7, 2020","4:00 PM","Sat","(14) Oklahoma State","@","Kansas State","Big 12","W",20,18,5,1,"W 1",NA
"7",7,"Nov 21, 2020","7:30 PM","Sat","(14) Oklahoma State","@","(18) Oklahoma","Big 12","L",13,41,5,2,"L 1",NA
"8",8,"Nov 28, 2020","12:00 PM","Sat","(21) Oklahoma State","","Texas Tech","Big 12","W",50,44,6,2,"W 1",NA
"9",9,"Dec 5, 2020","12:00 PM","Sat","(19) Oklahoma State","@","Texas Christian","Big 12","L",22,29,6,3,"L 1",NA
"10",10,"Dec 12, 2020","7:00 PM","Sat","Oklahoma State","@","Baylor","Big 12","W",42,3,7,3,"W 1",NA
