"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","7:00 PM","Sat","(5) Oklahoma","","Missouri State","Non-Major","W",48,0,1,0,"W 1",""
"2",2,"Sep 26, 2020","12:00 PM","Sat","(3) Oklahoma","","Kansas State","Big 12","L",35,38,1,1,"L 1",""
"3",3,"Oct 3, 2020","7:30 PM","Sat","(18) Oklahoma","@","Iowa State","Big 12","L",30,37,1,2,"L 2",""
"4",4,"Oct 10, 2020","12:00 PM","Sat","Oklahoma","N","(22) Texas","Big 12","W",53,45,2,2,"W 1",""
"5",5,"Oct 24, 2020","12:00 PM","Sat","Oklahoma","@","Texas Christian","Big 12","W",33,14,3,2,"W 2",""
"6",6,"Oct 31, 2020","8:00 PM","Sat","(24) Oklahoma","@","Texas Tech","Big 12","W",62,28,4,2,"W 3",""
"7",7,"Nov 7, 2020","3:30 PM","Sat","(19) Oklahoma","","Kansas","Big 12","W",62,9,5,2,"W 4",""
"8",8,"Nov 21, 2020","7:30 PM","Sat","(18) Oklahoma","","(14) Oklahoma State","Big 12","W",41,13,6,2,"W 5",""
"9",9,"Dec 5, 2020","8:00 PM","Sat","(13) Oklahoma","","Baylor","Big 12","W",27,14,7,2,"W 6",""
"10",10,"Dec 19, 2020","12:00 PM","Sat","(13) Oklahoma","N","(10) Iowa State","Big 12","",NA,NA,NA,NA,"","AT&T Stadium - Arlington, Texas"
